Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Jill Mills,F,SBD,Raw,41.0,40-44,Open,78.56,82.5,,,,,197.5,,,,,137.5,,,,,235.0,570.0,1,526.95,532.22,462.58,894.67,,USA,USPA,2013-12-14,USA,TX,Bend the Bar Powerlifting Meet
Gemma Hauck,F,SBD,Raw,17.5,18-19,Open,69.75,72,130.0,-140.0,-140.0,,130.0,70.0,-75.0,75.0,,75.0,140.0,150.0,155.0,,155.0,360.0,1,359.03,380.57,316.51,595.11,Yes,,PA,2016-08-27,Australia,QLD,BNB Blast II
Suzanne Cyr,F,SBD,Raw,50.0,50-54,FR-O,69.6,72,-67.5,-67.5,67.5,,67.5,-45.0,-45.0,45.0,,45.0,100.0,107.5,112.5,,112.5,225.0,13,224.73,253.94,198.12,369.36,Yes,,USAPL,2016-12-03,USA,RI,New England Open
Brianna Schneider,F,SBD,Raw,20.5,20-23,FR-Jr,62.5,63,80.0,90.0,-100.0,,90.0,50.0,-55.0,-55.0,,50.0,105.0,120.0,-127.5,,120.0,260.0,19,280.92,286.54,248.08,447.33,Yes,,USAPL,2016-10-13,USA,GA,Raw Nationals
Fanny Tam,F,SBD,Raw,23.0,20-23,Open,46.8,48,,,,,82.5,,,,,35.0,,,,,100.0,217.5,1,293.41,293.41,261.65,422.18,,,USPA,2015-09-12,USA,CA,Smash Weight Open
Natasha Day,F,SBD,Raw,37.5,35-39,Open,50.0,52,75.0,80.0,85.0,,85.0,50.0,52.5,-55.0,,52.5,95.0,100.0,107.5,,107.5,245.0,6,314.74,314.74,279.47,465.72,Yes,Australia,PA,2013-04-27,Australia,QLD,Iron Fest Open
Tonnie Alliance,F,SBD,Raw,69.0,65-69,Open,65.5,67.5,,,,,50.0,,,,,42.5,,,,,95.0,187.5,3,195.6,314.91,172.63,312.65,,,USPA,2014-08-10,USA,OH,Gay Games Powerlifting Championships
Diane Dow,F,SBD,Raw,,,Open,52.0,52,,,,,77.5,,,,,37.5,,,,,97.5,212.5,1,264.91,264.91,234.82,391.21,Yes,,CPU,2015-07-18,Canada,ON,London Open
Kamilla Kolvig,F,SBD,Raw,25.5,24-34,Open,70.1,72,130.0,137.5,140.0,,140.0,62.5,65.0,-67.5,,65.0,150.0,160.0,-165.0,,160.0,365.0,3,362.76,362.76,319.76,602.14,Yes,Norway,NSF,2015-02-14,Norway,,RM Øst
Zoe Clark,F,SBD,Raw,21.5,20-23,F-C-U23,67.7,72,100.0,107.5,-110.0,,107.5,60.0,65.0,67.5,,67.5,112.5,120.0,-125.0,,120.0,295.0,2,300.45,303.45,265.02,492.4,Yes,UK,EPA,2017-05-27,England,,All England Championships
Natalie Gilliam,F,SBD,Raw,10.5,5-12,FR-Y2,77.0,84,40.0,47.5,55.0,,55.0,25.0,30.0,35.0,,35.0,52.5,60.0,70.0,,70.0,160.0,1,149.67,206.55,131.51,253.6,Yes,,USAPL,2017-11-04,USA,MI,Michigan Teen Meet
Nicole Zoner,F,SBD,Raw,36.0,35-39,Submasters 35-39,46.2,48,,,,,62.5,,,,,42.5,,,,,92.5,197.5,1,268.9,268.9,240.04,381.01,,,USPA,2016-05-28,USA,CA,Ventura Summer Powerlifting Bash
Ellen Stein,F,SBD,Raw,56.0,55-59,O,58.2,60,112.5,120.0,127.5,,127.5,57.5,62.5,-67.5,,62.5,145.0,155.0,-162.5,,155.0,345.0,4,393.86,490.75,348.15,620.55,Yes,USA,USAPL,2009-03-06,USA,OH,CON-CRET Raw Challenge
Natatia Nugent,F,SBD,Raw,27.5,24-34,FR-O,60.5,63,110.0,115.0,-120.0,,115.0,-50.0,-52.5,-52.5,,,135.0,140.0,142.5,,142.5,,DQ,,,,,Yes,,USAPL,2016-08-05,USA,NJ,34th Annual New Jersey State Championships
Lauren Kelly,F,SBD,Raw,25.0,24-34,Open,54.7,56,,,,,60.0,,,,,47.5,,,,,92.5,200.0,1,239.69,239.69,212.13,358.22,,,USPA,2017-06-11,USA,CA,Metroflex Classic
Bianca Hartfelder,F,SBD,Raw,23.0,20-23,Open,79.9,82.5,,,,,135.0,,,,,77.5,,,,,155.0,367.5,2,336.5,336.5,295.13,573.44,,,USPA,2017-03-18,USA,MO,3rd Powerbody USA Open
Bonnie Douthitt,F,SBD,Raw,52.0,50-54,FR-M,51.4,52,67.5,75.0,-80.0,,75.0,45.0,47.5,50.0,,50.0,112.5,120.0,-125.0,,120.0,245.0,1,308.17,359.02,273.29,459.36,Yes,,USAPL,2017-01-28,USA,KY,Kentucky Open Raw Championship
Monica Ray,F,SBD,Raw,20.0,20-23,Juniors 20-23,70.1,75,,,,,120.0,,,,,-55.0,,,,,132.5,,DQ,,,,,,,USPA,2016-10-22,USA,CA,Sacramento Open
Tiffany Savanh,F,SBD,Raw,23.5,24-34,Amateur Open,45.09,48,,,,,90.72,,,,,54.43,,,,,117.93,263.08,1,364.33,364.33,325.95,532.42,Yes,,RPS,2016-10-02,Canada,ON,Canadian Conflict
Svetlana Korobitsina,F,SBD,Raw,29.5,24-34,O,59.1,60,65.0,70.0,-75.0,,70.0,40.0,-45.0,-45.0,,40.0,85.0,95.0,100.0,,100.0,210.0,2,236.89,236.89,209.35,365.83,,,GPA,2014-11-01,Russia,,Eurasian Cup
Jonna Briannon,F,SBD,Raw,29.5,24-34,FR-O,85.3,84+,115.0,120.0,125.0,,125.0,57.5,-60.0,60.0,,60.0,132.5,137.5,142.5,,142.5,327.5,2,289.86,289.86,253.11,498.68,Yes,,USAPL,2016-11-05,USA,WA,Northwest Regional Championships
Joanne Vargas,F,SBD,Raw,37.0,35-39,Open,73.8,75,,,,,125.0,,,,,62.5,,,,,182.5,370.0,1,355.35,355.35,312.77,596.87,,,USPA,2015-08-08,USA,AZ,Arizona State Powerlifting Championships
Kim Roland,F,SBD,Raw,43.0,40-44,Masters 40-44,65.75,67.5,,,,,102.5,,,,,62.5,,,,,142.5,307.5,1,319.88,329.8,282.3,520.28,,,USPA,2016-05-07,USA,CA,Old Skool Iron Classic
Callie Spohn,F,SBD,Raw,17.5,18-19,FR-T,48.5,52,95.0,102.5,107.5,,107.5,-57.5,-57.5,57.5,,57.5,127.5,132.5,142.5,,142.5,307.5,1,404.15,428.4,359.49,605.51,Yes,,USAPL,2018-11-10,USA,PA,Veterans Day Championships
Victoria Jeppsson,F,SBD,Raw,22.5,20-23,Juniors,53.05,57,115.0,120.0,122.5,,122.5,70.0,75.0,-77.5,,75.0,147.5,155.0,160.0,,160.0,357.5,1,438.82,438.82,388.7,676.14,Yes,Sweden,NordicPF,2016-02-19,Sweden,,Nordic Sub-Juniors & Juniors Classic Powerlifting Championships
Alexandra Kilgore,F,SBD,Raw,25.5,24-34,FR-O,84.0,84,132.5,140.0,145.0,,145.0,67.5,72.5,77.5,,77.5,165.0,175.0,185.0,,185.0,407.5,26,363.38,363.38,317.69,622.53,Yes,,USAPL,2018-10-11,USA,WA,Raw Nationals
Catherine Sorrenson,F,SBD,Raw,40.5,40-44,Masters 1,54.9,57,-113.0,113.0,-115.5,,113.0,70.0,76.5,80.0,,80.0,125.5,135.5,140.0,,140.0,333.0,1,397.95,397.95,352.16,616.14,Yes,Australia,OceaniaPF,2013-12-06,New Zealand,AKL,Oceania Raw Powerlifting Championships
Wai Kee Leung,F,SBD,Raw,25.5,24-34,FR-O,53.5,57,82.5,87.5,92.5,,92.5,55.0,60.0,-62.5,,60.0,85.0,90.0,95.0,,95.0,247.5,1,301.81,301.81,267.27,455.5,Yes,,USAPL,2017-09-09,USA,CA,Santa Cruz Strength Fall Classic
Emma Stott,F,SBD,Raw,,,F-C-Open,57.6,63,-80.0,85.0,-90.0,,85.0,50.0,55.0,-57.5,,55.0,110.0,120.0,130.0,,130.0,270.0,2,310.75,310.75,274.73,482.6,Yes,,EPA,2015-08-02,England,,The Roses Cup
Zarlakha Wayland,F,SBD,Raw,,,Amateur Open,59.87,60,,,,,77.11,,,,,47.63,,,,,88.45,213.19,1,238.08,238.08,210.36,369.81,Yes,,RPS,2013-09-29,USA,FL,End of Summer Powerfest
Candace Lord,F,SBD,Raw,31.5,24-34,FR-O,66.5,72,97.5,102.5,107.5,,107.5,62.5,67.5,72.5,,72.5,107.5,115.0,120.0,,120.0,300.0,1,309.5,309.5,273.09,504.78,Yes,,USAPL,2016-01-16,USA,MA,St. John's High School Classic and Worcester Open
Rebekka Andersen,F,SBD,Raw,20.5,20-23,Juniors,71.1,72,120.0,127.5,130.0,,130.0,87.5,92.5,-95.0,,92.5,155.0,-165.0,165.0,,165.0,387.5,4,381.42,389.05,336.09,635.64,Yes,Denmark,NordicPF,2018-11-21,Iceland,,Nordic Powerlifting & Bench Press Championships
Amy Morris,F,SBD,Raw,,,Open,63.0,63,,,,,145.0,,,,,82.5,,,,,140.0,367.5,1,394.68,394.68,348.51,637.06,Yes,,CPU,2017-08-26,Canada,SK,Saskatchewan Provincials
Mykaela Rybak,F,SBD,Raw,19.0,18-19,FR-O,81.5,84,70.0,75.0,80.0,,80.0,42.5,50.0,-57.5,,50.0,82.5,90.0,97.5,,97.5,227.5,1,206.06,214.31,180.52,353.8,Yes,,USAPL,2015-11-21,USA,AK,Dena'ina Powerlifting Challenge
Leana Pak,F,SBD,Raw,31.5,24-34,FR-O,79.1,84,92.5,97.5,105.0,,105.0,50.0,-55.0,-55.0,,50.0,92.5,102.5,110.0,,110.0,265.0,8,244.03,244.03,214.14,415.81,Yes,,USAPL,2019-02-16,USA,WA,Washington State Championship
Ashley Hanson,F,SBD,Raw,,,Amateur Open,66.32,67.5,,,,,104.33,,,,,61.23,,,,,113.4,278.96,5,288.37,288.37,254.45,469.09,Yes,,RPS,2015-03-28,USA,CT,New England Revolution
Donna Truax,F,SBD,Raw,49.5,45-49,FR-M2,62.7,63,82.5,87.5,-95.0,,87.5,57.5,62.5,65.0,,65.0,130.0,137.5,145.0,,145.0,297.5,1,320.66,356.9,283.17,513.63,Yes,,USAPL,2016-11-05,USA,WA,Northwest Regional Championships
Robyn Hall,F,SBD,Raw,22.5,20-23,Juniors,63.0,63,,,,,105.0,,,,,67.5,,,,,140.0,312.5,3,335.61,335.61,296.35,539.22,Yes,New Zealand,NZPF,2017-10-29,New Zealand,AKL,National Classic Powerlifting Championships
Katlin Meyer,F,SBD,Raw,22.5,20-23,FR-Jr,70.1,72,112.5,120.0,127.5,,127.5,60.0,-62.5,62.5,,62.5,132.5,140.0,152.5,,152.5,342.5,1,340.4,340.4,300.05,564.58,Yes,,USAPL,2018-05-12,USA,CA,Barbells on the Boardwalk
Hailee Frechette,F,SBD,Raw,,,Open,44.1,47,,,,,77.5,,,,,45.0,,,,,92.5,215.0,1,302.28,302.28,271.06,429.79,Yes,,CPU,2015-02-22,Canada,BC,BCPA Winter Open
Cat Bechtold,F,SBD,Raw,39.0,35-39,Submasters 35-39,86.75,90,,,,,125.0,,,,,70.0,,,,,167.5,362.5,1,318.3,318.3,277.58,547.6,,,USPA,2017-06-24,USA,CA,Surf City Open
Ashley Kemp,F,SBD,Raw,18.5,18-19,FR-C,82.0,84,72.5,82.5,92.5,,92.5,42.5,47.5,-50.0,,47.5,100.0,112.5,120.0,,120.0,260.0,2,234.74,244.13,205.56,402.86,Yes,,USAPL,2016-11-19,USA,TX,Longhorn Open
Rosa Lee,F,SBD,Raw,42.0,40-44,Masters 40-44,65.7,67.5,,,,,75.0,,,,,42.5,,,,,102.5,220.0,1,228.99,233.57,202.09,368.7,,,USPA,2018-12-08,USA,CA,Inland Empire Winter Open
Latosha Floyd,F,SBD,Raw,33.0,24-34,Open,74.39,75,,,,,145.0,,,,,87.5,,,,,190.0,422.5,1,403.72,403.72,355.24,679.58,,,USPA,2014-10-11,USA,HI,Hawaii Raw Power ELUA
Genna Fudin,F,SBD,Raw,22.0,20-23,FR-Jr,61.3,63,62.5,67.5,-70.0,,67.5,35.0,37.5,40.0,,40.0,80.0,85.0,87.5,,87.5,195.0,2,213.84,215.98,188.89,333.47,Yes,,USAPL,2017-11-11,USA,CA,Boss of NorCal V
Rupa Bhattacharya,F,SBD,Raw,33.5,24-34,FR-O,61.3,63,90.0,97.5,-105.0,,97.5,40.0,42.5,-45.0,,42.5,110.0,117.5,-125.0,,117.5,257.5,50,282.37,282.37,249.43,446.56,Yes,,USAPL,2015-10-15,USA,,Raw Nationals
Oksana Hronovych,F,SBD,Raw,22.5,20-23,Juniors,51.45,52,110.0,115.0,120.0,,120.0,70.0,75.0,77.5,,77.5,150.0,155.0,160.0,,160.0,357.5,1,449.34,449.34,398.47,687.71,Yes,Ukraine,IPF,2017-06-14,Belarus,,World Classic Powerlifting Championships
Jaqui Pope,F,SBD,Raw,,,Masters 1,82.85,84,100.0,-110.0,110.0,,110.0,70.0,75.0,-80.0,,75.0,135.0,145.0,150.0,,150.0,335.0,3,300.83,300.83,263.25,515.64,Yes,,CommonwealthPF,2017-09-11,South Africa,,Commonwealth Championships
Alyssa Haveson,F,SBD,Raw,26.5,24-34,Open,56.0,57,112.5,120.0,125.0,,125.0,65.0,70.0,-72.5,,70.0,140.0,152.5,157.5,,157.5,352.5,2,414.75,414.75,366.87,647.25,Yes,USA,NAPF,2015-03-06,USA,OH,Arnold - Raw Challenge
Bobbie Moore,F,SBD,Raw,,,Open,108.3,84+,,,,,127.5,,,,,60.0,,,,,155.0,342.5,2,279.42,279.42,237.98,478.97,Yes,,CPU,2017-08-26,Canada,AB,VO2 Max Summer Lift Off
Morgan Stahl,F,SBD,Raw,19.5,20-23,FR-Jr,67.65,72,97.5,105.0,-112.5,,105.0,80.0,-87.5,90.0,,90.0,110.0,115.0,-125.0,,115.0,310.0,3,315.89,325.37,278.65,518.12,Yes,,USAPL,2017-08-19,USA,MA,Northeast Regional Championships
Sarah McClanahan,F,SBD,Raw,22.5,20-23,FR-Jr,68.5,72,107.5,112.5,117.5,,117.5,70.0,72.5,-75.0,,72.5,115.0,125.0,132.5,,132.5,322.5,17,325.72,325.72,287.25,536.5,Yes,,USAPL,2018-10-11,USA,WA,Raw Nationals
Aline Falcón,F,SBD,Raw,24.5,24-34,Open,50.1,52,60.0,-80.0,-90.0,,60.0,35.0,45.0,-50.0,,45.0,120.0,140.0,-145.0,,140.0,245.0,3,314.26,314.26,279.02,465.25,Yes,Mexico,FEMEPO,2015-05-01,Mexico,SI,Campeonato Nacional de Powerlifting Y Bench Press
Jeneva Eason,F,SBD,Raw,30.5,24-34,FR-O,70.8,72,115.0,130.0,137.5,,137.5,65.0,70.0,-75.0,,70.0,135.0,147.5,152.5,,152.5,360.0,1,355.37,355.37,313.17,591.2,Yes,,USAPL,2017-08-19,USA,SC,Palmetto Classic
Wanetta Sayer,F,SBD,Raw,31.0,24-34,Open,72.2,75,,,,,97.5,,,,,62.5,,,,,127.5,287.5,2,280.1,280.1,246.7,467.14,,New Zealand,IPL-NZ,2017-08-26,New Zealand,WKO,National Championships
Orla Harris,F,SBD,Raw,20.0,20-23,Juniors,57.0,57,,,,,125.0,,,,,75.0,,,,,135.0,335.0,1,388.73,400.39,343.73,608.18,Yes,New Zealand,NZPF,2017-10-29,New Zealand,AKL,National Classic Powerlifting Championships
Megan Schlichtig,F,SBD,Raw,31.5,24-34,FR-O,61.0,63,87.5,100.0,107.5,,107.5,45.0,50.0,55.0,,55.0,107.5,120.0,130.0,,130.0,292.5,3,321.97,321.97,284.42,511.04,Yes,,USAPL,2019-03-02,USA,CT,CT Spring Classic
Hanna Seppä,F,SBD,Raw,24.5,24-34,Open,56.7,57,115.0,120.0,125.0,,125.0,67.5,-72.5,72.5,,72.5,152.5,157.5,160.0,,160.0,357.5,2,416.56,416.56,368.37,652.61,Yes,Finland,IPF,2018-07-09,Czechia,,3rd World University Powerlifting Cup
Carrieann Hathaway,F,SBD,Raw,,,F-C-Open,69.4,72,95.0,105.0,-107.5,,105.0,55.0,-60.0,-60.0,,55.0,120.0,-130.0,-130.0,,120.0,280.0,20,280.22,280.22,247.06,462.11,Yes,,BP,2016-09-17,UK,,Women's British Classic Championship
Kaitlyn McClintick,F,SBD,Raw,14.5,13-15,FR-JV,70.9,75,65.0,72.5,77.5,,77.5,32.5,37.5,-42.5,,37.5,85.0,92.5,100.0,,100.0,215.0,1,212.03,250.2,186.84,350.32,Yes,,USAPL,2016-02-13,USA,OH,Ohio High School State Championship
Vanessa Berger,F,SBD,Raw,25.5,24-34,FR-O,69.2,72,108.9,-120.2,-120.2,,108.9,65.8,68.0,70.3,,70.3,140.6,145.2,-154.2,,145.2,324.3,3,325.21,325.21,286.74,537.17,Yes,,USAPL,2015-05-23,USA,ID,Idaho Raw Classic
Juliegh Bookout,F,SBD,Raw,40.5,40-44,Pro Masters 40-44,58.0,60,,,,,112.5,,,,,67.5,,,,,147.5,327.5,1,374.89,374.89,331.4,588.82,,,RPS,2018-12-08,USA,TX,Texas Merry Gainzmas
Iris Kensenhuis,F,SBD,Raw,32.5,24-34,Open,80.1,84,137.5,142.5,147.5,,147.5,70.0,72.5,75.0,,75.0,170.0,180.0,185.0,,185.0,407.5,2,372.61,372.61,326.75,634.87,Yes,Netherlands,NPB,2016-12-11,Netherlands,NB,Dutch Powerlifting Championship
Jessica Brownlee,F,SBD,Raw,27.0,24-34,Open,117.9,90+,,,,,227.5,,,,,120.0,,,,,220.0,567.5,1,455.25,455.25,386.14,755.14,,,USPA,2018-08-25,USA,TX,The Tribute
Lynn Wardle,F,SBD,Raw,,,Open,55.7,57,,,,,85.0,,,,,60.0,,,,,127.5,272.5,2,321.98,321.98,284.83,495.1,Yes,,CPU,2013-06-01,Canada,ON,Toronto Supershow
Hollie Rau,F,SBD,Raw,40.0,40-44,F_MR_1_AAPF,64.4,67.5,117.5,125.0,130.0,,130.0,55.0,57.5,-60.0,,57.5,132.5,145.0,152.5,160.0,152.5,340.0,1,359.16,359.16,317.06,582.14,Yes,,CPF,2018-06-23,Canada,ON,National Championships
Nancy McGee,F,SBD,Raw,,55-59,Masters 55-59,59.87,60,,,,,74.84,,,,,34.02,,,,,88.45,197.31,1,220.35,269.93,194.69,340.65,,,SPF,2017-03-11,USA,MO,Lucky Leprechaun Meet
Selene Mallone,F,SBD,Raw,,,Juniors,59.5,63,,,,,107.5,,,,,55.0,,,,,142.5,305.0,1,342.26,342.26,302.43,540.0,Yes,,CPU,2016-09-24,Canada,ON,Last Chance Zone Open
Cipriana Castellano,F,SBD,Raw,16.5,16-17,FR-T2,73.3,75,,,,,140.0,,,,,62.5,,,,,145.0,347.5,1,335.21,362.03,295.11,562.0,Yes,USA,USAPL,2014-04-26,USA,AK,Alaska State Championship
Charley Bond,F,SBD,Raw,,,FR-O,69.25,72,105.0,110.0,-115.0,,110.0,65.0,-70.0,70.0,,70.0,115.0,120.0,125.0,,125.0,305.0,18,305.7,305.7,269.54,504.55,Yes,,EPA,2019-04-13,UK,,Women's British University Championships
Doreen Matecki,F,SBD,Raw,52.0,50-54,Masters 50-54,85.7,90,,,,97.5,95.0,,,,,70.5,,,,,113.5,279.0,1,246.38,287.03,215.07,425.24,Yes,,USPA,2018-04-07,USA,OR,Drug Tested Oregon Outlaw Open
Ruthie Lazaro,F,SBD,Raw,29.5,24-34,FR-O,54.1,57,80.0,85.0,-87.5,,85.0,47.5,50.0,52.5,,52.5,105.0,112.5,117.5,,117.5,255.0,1,308.26,308.26,272.89,467.82,Yes,,USAPL,2016-01-30,USA,OH,No Frills Blizzard Buster
Cheryl Venorsky,F,SBD,Raw,45.5,45-49,FR-M1b,73.1,84,62.5,,,,62.5,72.5,82.5,-87.5,,82.5,135.0,150.0,170.0,,170.0,315.0,1,304.4,321.14,268.01,509.68,Yes,,USAPL,2016-02-13,USA,IL,River's Edge
Kaylie Delacerda,F,SBD,Raw,15.5,16-17,FR-O,58.01,63,74.8,-83.9,-83.9,,74.8,34.0,-38.6,-38.6,,34.0,83.9,97.5,-104.3,,97.5,206.4,1,236.24,266.95,208.83,361.83,Yes,,USAPL,2018-05-05,USA,LA,Louisiana State Games
Michelle Kebodeaux,F,SBD,Raw,41.0,40-44,Open,79.7,82.5,,,,,102.5,,,,,57.5,,,,,100.0,260.0,2,238.4,240.79,209.12,406.91,Yes,,USPA,2018-08-11,USA,TX,Drug Tested Texas State Meet
Krista Dornbush,F,SBD,Raw,47.0,45-49,Masters 45-49,66.6,67.5,,,,,115.0,,,,,67.5,,,,,135.0,317.5,1,327.2,354.03,288.7,534.56,,,IPL,2016-11-10,USA,NV,World Powerlifting Championships
Claire Houston,F,SBD,Raw,,,F-C-Open,60.9,63,87.5,92.5,-100.0,,92.5,55.0,-60.0,-60.0,,55.0,125.0,135.0,-145.0,,135.0,282.5,4,311.35,311.35,275.04,493.25,Yes,N.Ireland,NIPF,2015-04-11,N.Ireland,,Classic Championships - Senior Men and Ladies
Suzan Premji,F,SBD,Raw,29.0,24-34,Open,51.85,52,70.0,80.0,-87.5,,80.0,40.0,45.0,47.5,,47.5,100.0,110.0,-117.5,,110.0,237.5,4,296.74,296.74,263.06,442.24,Yes,New Zealand,OceaniaPF,2013-12-06,New Zealand,AKL,Oceania Raw Powerlifting Championships
Ciara Perez,F,SBD,Raw,27.0,24-34,Open,59.96,60,,,,,115.5,,,,,65.0,,,,,147.5,328.0,1,365.87,365.87,323.27,580.24,,,USPA,2015-02-14,USA,WA,RAB Fitness Spring Fling
Louise Letson,F,SBD,Raw,52.5,50-54,Masters 2,82.32,84,-110.0,-115.0,115.0,,115.0,52.5,57.5,-60.0,,57.5,115.0,-125.0,-125.0,,115.0,287.5,1,259.04,301.78,226.77,444.34,Yes,Australia,PA,2013-03-22,Australia,VIC,Australian Raw Powerlifting and Bench Press Championships and Blind Championships
Gemma Price,F,SBD,Raw,,,FR-O,113.4,84+,90.0,-100.0,100.0,,100.0,65.0,-70.0,-70.0,,65.0,110.0,-125.0,,,110.0,275.0,2,222.22,222.22,188.89,383.65,Yes,,EPA,2019-03-30,UK,,South East Classic
Hannah Gray,F,SBD,Raw,,,Masters 1,80.0,84,,,,,122.5,,,,,60.0,,,,,145.0,327.5,1,299.67,299.67,262.8,511.09,Yes,,CPU,2017-09-08,Canada,MB,Western Canadian Championship
Alexandra Svanhem,F,SBD,Raw,,,Open,70.9,72,,,,,140.0,,,,,65.0,,,,,150.0,355.0,10,350.1,350.1,308.51,582.54,Yes,,SSF,2016-07-09,Sweden,,SM-veckan Norrköping - Klassisk Styrkelyft
Leslie Callahan,F,SBD,Raw,38.5,35-39,FR-O,100.7,84+,145.0,152.5,157.5,,157.5,77.5,82.5,87.5,,87.5,157.5,170.0,-182.5,,170.0,415.0,2,344.83,344.83,295.97,590.95,Yes,,USAPL,2016-03-19,USA,PA,Pennsylvania States Championships
Aubrie Harland,F,SBD,Raw,27.5,24-34,FR-O,71.9,72,100.0,107.5,-115.0,,107.5,52.5,55.0,60.0,,60.0,100.0,110.0,120.0,,120.0,287.5,5,280.87,280.87,247.41,467.92,Yes,,USAPL,2016-11-05,USA,NC,Fall Festival of Power
Milan Bunker,F,SBD,Raw,16.0,16-17,Juniors 16-17,94.9,90+,,,,,100.0,,,,,60.0,,,,,147.5,307.5,1,260.36,294.21,225.07,451.35,Yes,,USPA,2019-02-09,USA,NV,Drug Tested Nevada State Championships
Cynthia Collins,F,SBD,Raw,62.0,60-64,Masters 60-64,71.0,75,,,,,40.0,,,,,40.0,,,,,127.5,207.5,1,204.44,284.78,180.15,337.72,,,USPA,2017-12-02,USA,KY,Kentucky State Championship
Brittany Jore,F,SBD,Raw,26.0,24-34,Open,54.9,56,,,,,87.5,,,,,47.5,,,,127.5,122.5,257.5,1,307.72,307.72,272.31,469.42,,,USPA,2017-10-21,USA,ND,North Dakota State Open
Tanya Wells,F,SBD,Raw,40.0,40-44,wpure,65.59,67.5,,,,,85.0,,,,,42.5,,,,,125.0,252.5,1,263.14,263.14,232.23,425.35,Yes,,NASA,2015-04-04,USA,OH,Ohio State
Kristin Flosand Lande,F,SBD,Raw,,,Teen 14-18,64.19,72,90.0,95.0,-100.0,,95.0,60.0,65.0,67.5,,67.5,105.0,112.5,122.5,,122.5,285.0,3,301.8,301.8,266.43,486.28,Yes,,NSF,2017-04-28,Norway,,NM Styrkeløft Ungdom/Junior/Veteran utstyrsfritt
Dominique Moses,F,SBD,Raw,17.5,18-19,FR-T,70.4,72,-79.4,79.4,83.9,,83.9,43.1,49.9,-54.4,,49.9,83.9,102.1,115.7,,115.7,249.5,4,247.24,262.08,217.91,408.64,Yes,USA,USAPL,2016-05-14,USA,LA,Louisiana State Games
Monica Zeppetello,F,SBD,Raw,33.0,24-34,Open,90.6,84+,135.0,140.0,145.0,,145.0,72.5,77.5,-80.0,,77.5,152.5,157.5,165.0,,165.0,387.5,1,333.91,333.91,290.06,575.02,Yes,,ThaiPF,2019-02-09,Thailand,,Thailand Open
Essi Laakso,F,SBD,Raw,20.5,20-23,Under 23,66.95,72,125.0,-132.5,-132.5,,125.0,75.0,77.5,-80.0,,77.5,125.0,135.0,137.5,,137.5,340.0,1,349.06,356.04,307.96,571.92,Yes,Finland,SVNL,2016-10-15,Finland,,Klassisen voimanosto jäsentenvälinen kilpailu
Stephanie Buendia,F,SBD,Raw,29.0,24-34,Open,73.2,75,,,,,125.0,,,,,72.5,,,,,152.5,350.0,2,337.92,337.92,297.51,566.4,,,USPA,2017-05-20,USA,NY,Long Island Spring Showdown
Amanda Duzak-Trebach,F,SBD,Raw,,,FR-O,61.5,63,57.5,62.5,-65.0,,62.5,-45.0,45.0,47.5,,47.5,97.5,102.5,-105.0,,102.5,212.5,4,232.45,232.45,205.31,364.67,Yes,,USAPL,2015-11-21,USA,MD,Maryland State Championship
Dakota Young,F,SBD,Raw,18.5,18-19,FR-T3,71.4,72,,,,,157.5,,,,,70.5,,,,,187.5,415.5,1,407.82,424.13,359.31,680.7,Yes,USA,USAPL,2015-03-08,USA,TX,Texas Strength Classic
Saedah Salihia,F,SBD,Raw,,,Open,73.39,75,,,,,97.52,,,,,52.16,,,,,131.54,281.23,2,271.07,271.07,238.63,453.92,,,SPF,2014-06-28,USA,NY,Gaglione Strength Strong Island Summer Showdown
Amanda Hayslip,F,SBD,Raw,28.0,24-34,Open,72.7,75,,,,,137.5,,,,,70.0,,,,,130.0,337.5,1,327.31,327.31,288.23,547.62,,,USPA,2016-07-16,USA,OH,Summer Bash
Dana Martin,F,SBD,Raw,,,Open,110.0,84+,,,,,127.5,,,,,62.5,,,,,150.0,340.0,2,276.44,276.44,235.31,473.22,Yes,,CPU,2017-12-09,Canada,NL,709 Powerlifting Open
Kristy Boncal,F,SBD,Raw,39.0,35-39,Open,87.8,90,,,,,100.0,,,,,55.0,,,,,147.5,302.5,2,264.18,264.18,230.14,456.41,,,USPA,2019-02-16,USA,NY,Winter Classic
Donna Adams,F,SBD,Raw,42.5,40-44,FR-O,92.3,84+,120.0,127.5,132.5,,132.5,-67.5,-72.5,72.5,,72.5,125.0,145.0,150.0,,150.0,355.0,4,303.67,309.74,263.29,524.14,Yes,,USAPL,2015-12-12,USA,MN,The Senior Powerlifting Championships
Gabrielle Boykins,F,SBD,Raw,20.5,20-23,FR-Jr,67.1,72,80.0,85.0,97.5,,97.5,52.5,57.5,-65.0,,57.5,125.0,137.5,-140.0,,137.5,292.5,1,299.81,305.81,264.5,489.99,Yes,,USAPL,2018-07-15,USA,FL,7th Annual Central Florida Open Championships
