Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Harjit Singh,M,SBD,Raw,32.5,24-34,Open,109.2,120,170.0,185.0,200.0,,200.0,180.0,-187.5,-187.5,,180.0,220.0,-237.5,-242.5,,220.0,600.0,1,353.9,353.9,339.1,499.76,Yes,India,PA,2015-03-22,Australia,QLD,North Queensland Open
Chris Orzechowski,M,SBD,Raw,,,Amateur Open,109.32,110,,,,,215.46,,,,,151.95,,,,,260.82,628.23,2,370.42,370.42,354.92,526.91,Yes,,RPS,2014-09-13,USA,NJ,Supreme Iron Warrior
Christopher Mendez,M,SBD,Raw,,,Juniors,86.8,93,,,,,135.0,,,,,122.5,,,,,195.0,452.5,1,294.44,294.44,283.96,415.51,Yes,,CPU,2015-07-11,Canada,QC,Central Quebec Qualifier 2
Isak Berge Sandbak,M,SBD,Raw,,,Juniors 19-23,73.2,74,125.0,137.5,-140.0,,137.5,102.5,110.0,-112.5,,110.0,155.0,165.0,172.5,,172.5,420.0,1,304.47,304.47,294.68,431.21,Yes,Norway,NSF,2015-05-01,Norway,,Nasjonalt utstyrsfritt styrkeløft
Fredy Lee Hum,M,SBD,Raw,26.5,24-34,MR-O,74.6,83,125.0,132.5,137.5,,137.5,85.0,87.5,-100.0,,87.5,167.5,180.0,187.5,,187.5,412.5,11,295.03,295.03,285.42,415.81,Yes,,USAPL,2017-04-29,USA,NY,SBWC Spring Classic
Stephen Portell,M,SBD,Raw,50.0,50-54,Masters 50-54,98.2,100,,,,,175.0,,,,,105.0,,,,,175.0,455.0,1,278.97,315.24,268.25,384.29,Yes,,USPA,2019-02-02,USA,AZ,Drug Tested Arizona Open
Juan Jose Pasarello,M,SBD,Raw,50.5,50-54,Masters 2,101.5,105,200.0,210.0,220.0,,220.0,125.0,135.0,143.0,,143.0,200.0,215.0,225.0,,225.0,588.0,1,355.77,402.02,341.76,510.6,Yes,Argentina,FALPO,2018-10-05,Argentina,,Campeonato Nacional de Powerlifting
Raimo Sjögren,M,SBD,Raw,69.0,65-69,Open,108.8,120,155.0,165.0,175.0,,175.0,75.0,85.0,-90.0,,85.0,165.0,175.0,185.0,,185.0,445.0,1,262.78,423.07,251.83,349.61,Yes,Finland,SVNL,2014-06-14,Finland,,Markkinanostot voimanosto
Sergey Kosarev,M,SBD,Raw,33.5,24-34,Open,115.9,120,,,,,322.5,,,,,241.0,,,,,297.5,861.0,2,499.26,499.26,477.22,728.89,Yes,Russia,FPR,2014-03-26,Russia,,Russian Classic Powerlifting Championships
Jowel Shuffler,M,SBD,Raw,,,Juniors,95.4,105,,,,,187.5,,,,,110.0,,,,,235.0,532.5,1,330.6,330.6,318.15,473.01,Yes,,CPU,2019-04-06,Canada,MB,Movement Powerlifting Classic 2.0
